,INTPTLAT10,INTPTLON10
168,42.4156366,-71.17567
169,42.3953169,-71.1802841
170,42.3119471,-71.2755167
171,42.293099,-71.2985351
172,42.276029,-71.2445431
173,42.3605016,-71.3034335
174,42.2994895,-71.2325194
175,41.751759,-70.5975518
176,41.6689421,-70.6194072
177,41.3379606,-70.7616743
178,33.0121346,-96.5349358
179,32.270032,-96.7024944
180,32.0579379,-96.6325473
181,32.516879,-95.8836236
182,32.5801809,-96.9646745
183,32.2630103,-96.3876628
184,32.0427838,-96.343754
185,32.0846136,-96.5277676
186,32.6105754,-96.4442563
187,32.5994271,-96.8640746
188,32.6606604,-96.9118821
189,32.7150128,-95.8544608
190,32.3258647,-96.5884929
191,32.326026,-95.9740558
192,32.5366996,-96.6217469
193,32.7426013,-96.4528828
194,32.6902949,-95.789932
195,32.9457476,-96.3738828
196,32.617663,-96.7780575
197,33.0663446,-96.2214374
198,43.5123231,-82.9632121
199,42.9369499,-83.8205439
200,36.8569236,-88.3347141
201,43.6731558,-82.9479871
202,42.9387067,-84.0300499
203,43.0137267,-83.6883757
204,36.9166709,-88.6276857
205,37.23891,-88.3368482
206,37.0064721,-88.3919601
207,42.9999233,-83.7088642
208,36.6857478,-88.9913973
209,36.7758047,-89.1080665
210,36.9002256,-88.840382
211,36.711521,-88.2145438
212,37.1727808,-88.1877067
213,43.0547192,-83.7437365
214,37.0474135,-88.0276468
215,36.7887093,-88.8254336
216,36.6252956,-88.4970733
217,36.5503732,-88.8773521
218,43.0703107,-83.6861174
219,34.9836863,-81.8266352
220,34.465141,-81.8498163
221,36.4898018,-80.6291636
222,36.1693118,-80.3930448
223,36.4252619,-80.4872012
224,36.352819,-80.0642026
225,36.3372517,-80.4518301
226,36.2343984,-80.2960701
227,36.5022187,-80.0782643
228,36.3141343,-80.5691122
229,36.4825144,-79.9176781
230,36.2264423,-80.4097074
231,36.1959455,-80.1534011
232,36.320755,-80.1504527
233,36.474276,-80.3478503
234,35.7925404,-80.5978879
235,36.1138325,-80.6310992
236,36.1108495,-80.2004303
237,36.0582299,-80.3214959
238,36.0936873,-80.323532
239,36.1633767,-80.2337873
240,36.1439097,-80.3231573
241,36.0131579,-80.1754914
242,36.1339281,-80.2776346
